EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
LINC00476=HsaEX1019939	100.00	NA	NA	NA	93.99	NA	NA	NA	80.18	NA	NA	NA
TOM1L2=HsaEX0066462	87.73	82.98	80.33	100.00	87.03	88.73	92.45	80.33	89.19	91.18	86.21	89.83
TOM1L2=HsaEX0066464	86.86	94.12	76.47	92.31	90.36	91.89	94.87	84.91	88.32	78.72	94.59	92.45
TOM1L2=HsaEX0066453	95.47	100.00	100.00	85.17	96.04	100.00	87.29	100.00	100.00	100.00	100.00	100.00
TOM1L2=HsaEX0066459	100.00	100.00	100.00	100.00	92.25	100.00	83.35	91.39	100.00	100.00	100.00	100.00
TOM1L2=HsaEX0066456	94.65	93.55	93.94	95.84	87.90	96.15	76.41	93.75	95.56	92.31	94.74	100.00
TOM1L2=HsaEX0066457	91.49	92.00	93.94	88.89	85.98	95.92	69.61	92.90	95.35	94.12	90.91	100.00
GPR156=HsaEX0028339	100.00	NA	100.00	NA	85.51	85.71	81.82	89.47	95.65	100.00	NA	NA
GPR156=HsaEX0028340	100.00	NA	NA	100.00	80.95	87.50	NA	NA	95.24	NA	NA	NA
GPR156=HsaEX0028343	74.60	NA	90.00	70.37	78.08	92.86	NA	NA	71.43	NA	NA	NA
TTLL11=HsaEX0068064	100.00	NA	NA	NA	100.00	NA	NA	NA	84.52	NA	NA	NA
ETV4=HsaEX0023308	97.41	NA	100.00	100.00	89.52	90.90	94.80	81.34	88.11	89.21	84.19	90.63
ZDHHC21=HsaEX0072514	90.03	100.00	84.01	90.92	86.08	87.75	93.35	77.69	84.96	84.48	79.19	93.12
ZDHHC21=HsaEX0072515	18.20	NA	15.07	19.93	26.82	30.24	NA	15.51	23.78	6.08	20.89	NA
ZDHHC21=HsaEX0072519	94.01	100.00	85.47	100.00	91.45	85.35	90.70	100.00	93.42	88.59	100.00	91.61
CCDC57=HsaEX0013334	63.19	91.30	57.06	NA	74.34	88.89	54.75	74.36	78.42	78.26	88.24	66.67
CCDC57=HsaEX0013322	34.29	NA	NA	NA	53.85	NA	NA	NA	42.86	NA	NA	NA
ATAD5=HsaEX0006462	92.31	92.31	95.12	89.19	84.53	91.94	74.36	85.19	92.00	84.21	100.00	91.30
WDR25=HsaEX0071008	72.23	81.14	69.23	64.10	76.14	83.61	67.74	77.37	79.32	81.49	75.51	80.98
PHLDB3=HsaEX0047193	91.18	81.82	92.59	100.00	91.58	94.44	NA	84.00	91.55	89.47	100.00	87.10
PHLDB3=HsaEX0047195	89.09	NA	86.21	NA	96.67	NA	93.55	NA	93.33	100.00	NA	84.00
PHLDB3=HsaEX0047196	89.47	NA	85.19	100.00	96.97	100.00	92.00	100.00	100.00	100.00	NA	100.00
PHLDB3=HsaEX0047197	86.67	NA	NA	NA	96.08	100.00	NA	100.00	100.00	NA	NA	NA
LRRC37A=HsaEX0036583	77.42	76.99	91.99	NA	70.79	71.17	NA	73.30	79.51	61.71	93.68	86.38
LRRC37A=HsaEX1022224	76.62	77.78	92.00	NA	74.36	70.21	81.40	70.37	79.38	61.11	92.86	87.88
BOK=HsaEX0008314	60.49	51.41	64.79	64.02	53.30	52.94	55.41	50.48	64.20	52.60	66.01	77.21
BOK=HsaEX0008316	79.64	84.65	83.21	72.34	78.51	78.81	77.71	79.14	78.67	87.15	67.34	83.27
NCKAP5=HsaEX0042019	95.32	NA	NA	100.00	95.88	NA	100.00	88.59	87.92	100.00	89.19	NA
NCKAP5=HsaEX0042020	95.46	NA	NA	NA	90.69	100.00	80.95	91.07	96.88	100.00	100.00	NA
NCKAP5=HsaEX0042024	91.30	NA	80.95	NA	93.85	100.00	NA	NA	100.00	100.00	100.00	NA
NCKAP5=HsaEX0042025	94.29	100.00	85.71	100.00	94.59	100.00	NA	84.62	100.00	NA	100.00	NA
MAMSTR=HsaEX0037351	100.00	NA	NA	NA	84.00	NA	NA	NA	NA	NA	NA	NA
MTHFR=HsaEX0040509	97.33	100.00	93.10	100.00	100.00	100.00	100.00	NA	92.59	77.78	100.00	100.00
ZDHHC13=HsaEX0072443	69.18	73.17	67.57	67.86	65.84	67.35	72.73	56.60	74.68	75.00	78.00	71.15
SLC38A9=HsaEX0059594	94.92	92.64	100.00	92.07	87.54	89.66	92.35	79.95	91.87	100.00	92.70	82.41
SLC38A9=HsaEX0059599	93.03	92.72	89.47	96.00	98.40	100.00	100.00	95.30	87.46	94.13	85.26	84.62
SLC38A9=HsaEX0059603	88.09	83.99	82.26	100.00	84.65	83.71	87.29	83.20	93.39	94.91	97.05	87.93
ZBTB34=HsaEX0072136	20.00	NA	NA	NA	15.94	7.14	NA	21.43	36.51	NA	NA	NA
PDDC1=HsaEX0046161	29.61	33.98	23.96	33.30	33.66	36.45	34.80	30.18	35.17	28.80	44.83	31.07
C8orf31=HsaEX0011509	NA	NA	NA	NA	91.67	NA	NA	NA	100.00	NA	NA	NA
SAMD12=HsaEX0056141	NA	NA	NA	NA	2.04	NA	NA	NA	12.82	NA	NA	NA
SAMD12=HsaEX0056143	75.40	NA	NA	NA	100.00	NA	NA	NA	84.62	NA	NA	NA
TMEM94=HsaEX0033496	82.48	76.47	86.14	84.09	87.63	90.41	86.09	85.59	86.42	76.79	89.09	94.12
ZNF518A=HsaEX0073840	9.50	NA	NA	NA	17.42	NA	NA	NA	NA	NA	NA	NA
ZNF518A=HsaEX0073842	80.93	NA	NA	NA	86.31	NA	NA	NA	100.00	NA	NA	NA
MAMDC4=HsaEX0037333	25.75	NA	NA	NA	24.71	24.17	17.12	NA	9.46	NA	NA	NA
MAMDC4=HsaEX0037334	68.89	NA	NA	NA	56.16	60.00	NA	NA	40.00	NA	23.08	NA
MAMDC4=HsaEX0037335	57.14	NA	NA	NA	59.42	60.00	53.33	NA	40.00	NA	NA	NA
MAMDC4=HsaEX0037336	90.87	NA	NA	100.00	94.81	94.13	100.00	NA	78.01	NA	83.35	NA
MAMDC4=HsaEX0037331	83.47	NA	75.64	NA	82.09	76.92	NA	91.30	94.12	NA	NA	NA
ALS2CL=HsaEX0003858	NA	NA	NA	NA	92.31	NA	NA	NA	100.00	NA	NA	NA
ALS2CL=HsaEX0003859	91.30	NA	NA	NA	90.91	NA	NA	NA	100.00	NA	NA	NA
ALS2CL=HsaEX0003860	90.00	NA	NA	NA	91.30	NA	NA	NA	100.00	NA	NA	NA
ALS2CL=HsaEX1045734	100.00	NA	NA	NA	100.00	NA	NA	NA	84.62	NA	NA	NA
ZNF114=HsaEX0073005	100.00	NA	NA	NA	100.00	NA	NA	NA	90.48	NA	NA	NA
LCORL=HsaEX0035533	81.75	92.38	71.58	81.96	69.16	65.46	NA	82.01	71.68	68.01	69.93	NA
LCORL=HsaEX0035529	90.83	87.88	94.87	89.19	100.00	100.00	100.00	100.00	93.33	100.00	85.71	93.75
LCORL=HsaEX0035530	42.83	NA	45.58	41.07	68.23	79.95	62.09	60.12	73.73	100.00	77.73	NA
LCORL=HsaEX1019505	12.10	NA	5.17	NA	13.46	NA	NA	NA	24.06	NA	NA	NA
GEN1=HsaEX0027321	23.40	17.24	28.21	23.08	13.82	12.12	21.21	8.33	15.00	6.25	14.29	NA
GEN1=HsaEX0027322	92.08	100.00	86.79	91.41	94.61	100.00	92.68	84.18	89.16	85.33	100.00	NA
ZNF354B=HsaEX0073509	89.81	88.30	89.67	91.07	90.75	91.44	100.00	79.11	83.29	100.00	68.37	NA
DTX3=HsaEX0021131	84.79	93.10	70.59	93.11	82.19	81.29	78.27	86.37	72.06	72.29	65.55	78.57
ERN1=HsaEX0023119	90.00	NA	NA	NA	100.00	NA	NA	NA	91.30	NA	NA	NA
NSUN3=HsaEX0043948	19.28	19.05	22.58	16.13	21.92	25.58	17.39	23.97	22.88	15.49	23.31	37.14
FAM219B=HsaEX0009536	36.45	NA	35.38	31.14	35.35	42.26	26.56	43.85	43.81	27.63	58.83	45.86
ZHX2=HsaEX0072799	3.85	NA	7.14	NA	18.92	NA	NA	NA	8.11	NA	NA	NA
EFCAB13=HsaEX0009779	87.10	NA	NA	NA	74.07	75.00	NA	NA	80.00	NA	NA	NA
ZNF852=HsaEX0074462	18.89	NA	NA	NA	7.69	8.33	NA	3.45	29.17	NA	NA	11.11
ZNF852=HsaEX0074463	87.80	NA	81.10	NA	84.27	83.78	100.00	75.00	94.03	100.00	90.48	91.67
CTC1=HsaEX0009806	45.11	41.94	54.97	39.46	52.67	55.75	57.51	35.13	44.85	48.81	50.60	38.23
CTC1=HsaEX0009807	53.29	58.88	62.16	42.03	67.50	73.38	67.60	56.36	52.18	63.68	51.41	41.32
EDC3=HsaEX0021559	15.20	14.29	9.80	23.08	24.32	26.19	19.15	25.93	14.73	11.11	23.81	9.80
WSCD1=HsaEX0071643	100.00	NA	100.00	100.00	100.00	NA	NA	NA	88.00	NA	NA	NA
LINC00174=HsaEX0028794	85.11	NA	NA	NA	73.91	NA	NA	NA	NA	NA	NA	NA
LINC00174=HsaEX1019758	81.03	NA	NA	NA	89.51	NA	NA	NA	NA	NA	NA	NA
LINC00174=HsaEX0042163	92.85	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
LINC00174=HsaEX0028799	52.88	NA	NA	NA	58.99	50.52	70.13	NA	59.45	NA	NA	NA
LINC00174=HsaEX1019759	90.82	NA	NA	NA	68.71	NA	NA	NA	59.69	NA	NA	NA
ZFPM1=HsaEX0072687	92.31	NA	NA	NA	86.67	NA	NA	NA	75.76	NA	NA	NA
PCBP1-AS1=HsaEX1027202	NA	NA	NA	NA	29.33	17.99	NA	NA	35.34	NA	NA	NA
PCBP1-AS1=HsaEX0001617	NA	NA	NA	NA	7.14	NA	NA	NA	0.00	NA	NA	NA
PCBP1-AS1=HsaEX0001613	35.93	30.14	34.31	42.24	44.72	43.87	45.53	45.06	54.92	59.49	72.05	38.38
PCBP1-AS1=HsaEX0001621	20.08	10.86	18.48	31.48	21.73	20.48	26.98	19.02	23.03	27.80	28.33	16.11
MROH1=HsaEX0001567	100.00	NA	NA	NA	80.00	NA	NA	NA	93.75	NA	NA	NA
MROH1=HsaEX0029577	45.45	NA	NA	NA	27.87	16.67	NA	NA	49.03	NA	NA	NA
MROH1=HsaEX0029579	100.00	100.00	100.00	100.00	96.52	94.74	100.00	94.12	88.80	88.24	93.94	85.05
ABCA13=HsaEX6008197	86.21	NA	NA	NA	90.91	NA	NA	NA	100.00	NA	NA	NA
R3HDM2=HsaEX0051536	81.65	80.25	76.36	88.12	83.28	82.15	78.45	89.49	82.01	82.63	73.14	94.30
PSTK=HsaEX0050694	27.32	23.01	NA	14.79	19.79	12.78	28.80	20.34	27.81	NA	19.58	15.52
RCC1=HsaEX0052876	19.30	NA	NA	12.00	8.47	8.00	0.00	15.79	7.63	3.37	13.51	4.00
RCC1=HsaEX0052881	93.94	100.00	NA	94.44	86.86	86.67	81.40	94.12	96.20	100.00	94.74	94.12
ALX1=HsaEX0003898	80.81	92.00	64.71	87.50	90.58	85.71	93.65	93.10	81.52	81.82	78.18	83.78
CCDC66=HsaEX0013399	95.89	95.83	95.74	96.08	95.15	96.83	96.43	91.30	86.74	93.22	77.96	87.23
RNF182=HsaEX0053990	93.55	90.00	94.97	94.84	86.22	84.77	79.19	97.10	93.59	96.03	94.48	90.07
PCGF5=HsaEX0045881	83.56	90.00	86.96	76.67	89.31	91.72	84.62	90.84	93.17	90.24	98.04	91.75
ARSJ=HsaEX0006096	95.93	93.95	94.32	100.00	87.75	87.53	91.28	84.97	91.41	100.00	90.11	85.62
CUEDC1=HsaEX0017983	88.48	92.73	93.48	81.25	92.20	96.36	83.91	95.29	85.96	91.67	79.22	87.34
D2HGDH=HsaEX0018394	83.30	83.89	81.94	84.43	84.57	94.98	77.79	78.79	93.37	91.90	93.23	94.49
D2HGDH=HsaEX0018396	12.37	4.92	19.36	11.63	12.69	9.49	3.70	24.89	10.48	NA	8.62	13.27
RPH3AL=HsaEX0055481	90.70	NA	NA	NA	66.04	NA	NA	NA	66.67	NA	NA	NA
SLC25A42=HsaEX0059131	97.85	100.00	93.56	100.00	91.05	93.12	84.00	NA	96.73	NA	100.00	100.00
ZNF707=HsaEX0074229	46.54	36.36	38.73	68.42	52.54	38.94	60.26	60.00	46.44	39.74	38.73	59.26
DDX60L=HsaEX0019037	94.59	NA	NA	NA	86.67	76.92	100.00	NA	95.35	NA	NA	NA
OGFOD3=HsaEX0009733	38.54	43.80	30.20	43.31	35.92	37.37	33.75	36.31	34.36	33.96	41.72	26.32
RNF135=HsaEX0053895	51.15	45.24	55.06	52.81	59.52	65.15	57.78	54.13	57.69	65.52	61.54	47.37
ACBD4=HsaEX0001833	86.41	80.95	93.33	87.10	87.28	88.24	86.67	86.67	86.67	93.94	94.12	73.68
SGSH=HsaEX0057856	82.94	77.23	93.42	78.72	79.10	78.53	72.86	84.83	84.40	83.00	92.95	78.10
FANCB=HsaEX0024744	71.79	85.81	77.20	58.12	71.84	68.39	66.96	80.97	66.45	56.31	73.12	68.37
HKR1=HsaEX0030089	95.92	NA	89.47	100.00	84.13	91.67	NA	NA	94.44	NA	NA	NA
LINC00471=HsaEX0010720	100.00	NA	NA	NA	90.58	NA	NA	NA	100.00	NA	NA	NA
RTKN2=HsaEX0055872	87.13	88.89	78.79	94.20	85.88	76.81	93.75	89.19	84.62	90.91	83.10	81.48
CHST15=HsaEX6090969	97.10	100.00	100.00	90.22	94.73	100.00	84.23	100.00	100.00	NA	NA	NA
OGFRP1=HsaEX0072062	NA	NA	NA	NA	33.33	NA	NA	NA	13.33	NA	NA	NA
ZNF708=HsaEX0074238	22.04	NA	NA	NA	43.38	NA	NA	NA	27.40	NA	NA	NA
ZNF708=HsaEX0074239	62.55	NA	NA	NA	81.48	NA	87.23	NA	85.65	NA	NA	NA
TRAPPC6B=HsaEX0066943	84.33	71.49	86.92	91.49	91.58	91.25	87.65	95.51	90.36	92.68	92.50	86.21
TRAPPC6B=HsaEX0066944	71.25	64.57	73.92	73.58	74.39	75.99	71.13	75.47	81.74	79.49	82.28	83.33
EXOC7=HsaEX0023505	42.96	47.25	46.58	36.81	34.90	33.81	41.76	30.46	39.37	42.55	36.88	38.68
TRAK1=HsaEX0066867	9.40	6.71	7.60	13.44	14.51	7.63	27.05	13.30	18.48	NA	14.24	24.17
TTC3=HsaEX0067906	41.70	38.40	45.68	41.17	44.17	43.32	57.11	37.12	50.02	46.34	49.75	54.40
TTC3=HsaEX0067911	67.62	61.78	79.35	56.75	65.50	55.09	82.93	58.44	65.77	70.09	61.43	63.22
PAPPA=HsaEX0045458	73.33	NA	NA	NA	89.74	NA	NA	NA	91.30	NA	NA	NA
PAPPA=HsaEX0045459	92.98	NA	NA	100.00	92.31	85.19	NA	NA	96.23	NA	90.00	100.00
ZNF721=HsaEX1045440	27.96	NA	NA	NA	47.78	NA	NA	NA	28.10	NA	NA	NA
ZNF721=HsaEX0074265	67.86	64.65	61.30	78.52	70.16	79.82	64.29	62.34	68.08	82.88	70.81	53.57
ZNF721=HsaEX0074266	46.70	29.30	49.36	55.85	41.03	35.11	52.60	38.29	39.17	45.89	39.66	31.89
ZNF721=HsaEX0074267	32.60	22.58	32.35	NA	40.28	45.73	30.68	NA	40.21	43.14	27.04	46.03
ZNF320=HsaEX0073407	13.74	25.54	NA	NA	8.52	2.64	8.80	16.77	5.66	16.29	NA	0.00
ZNF320=HsaEX0073408	20.30	16.40	11.34	34.51	15.10	15.94	11.82	17.49	24.80	NA	35.40	11.17
ZNF320=HsaEX0073409	21.24	33.10	12.67	14.98	16.74	19.20	16.71	12.59	14.29	NA	10.13	7.31
ZNF320=HsaEX0073411	65.03	64.09	NA	79.91	71.89	83.33	65.56	63.67	76.20	81.91	87.99	56.30
SLC25A21=HsaEX0059036	90.91	NA	NA	89.47	94.29	NA	88.24	NA	90.70	NA	78.95	NA
GAS6=HsaEX0027079	84.90	73.98	82.56	94.99	85.67	86.15	80.06	91.04	82.68	83.69	83.14	80.97
CEP57L1=HsaEX0011316	71.61	78.45	74.83	63.51	81.65	78.97	79.05	88.56	72.56	79.82	59.94	76.30
CEP57L1=HsaEX1008356	100.00	100.00	100.00	100.00	95.28	91.31	93.10	100.00	93.55	100.00	83.69	94.99
CCDC125=HsaEX0012966	60.00	NA	NA	60.87	60.47	63.38	64.44	53.57	65.93	75.00	66.67	59.32
CCDC125=HsaEX0012967	60.19	NA	60.99	51.27	63.36	65.50	67.75	56.76	70.58	76.77	77.99	61.01
CCDC125=HsaEX0012963	93.84	89.04	92.42	100.00	92.94	100.00	83.90	94.51	97.04	100.00	100.00	91.25
KIAA2026=HsaEX0034344	12.79	23.11	13.25	0.00	17.08	26.67	NA	13.01	8.82	8.43	NA	4.33
KIAA2026=HsaEX0034346	90.65	100.00	100.00	79.35	94.68	100.00	83.40	100.00	96.73	100.00	NA	100.00
KIAA2026=HsaEX0034347	78.86	NA	76.39	76.88	87.17	100.00	74.44	87.92	74.07	NA	NA	71.02
KIAA2026=HsaEX0034348	15.30	4.73	19.88	18.44	27.76	NA	NA	NA	24.81	NA	NA	NA
KIAA2026=HsaEX1018784	9.28	16.58	7.10	4.33	15.57	18.52	NA	NA	11.78	NA	NA	0.00
CCDC159=HsaEX0013126	90.91	NA	NA	NA	66.67	NA	NA	NA	76.00	NA	NA	NA
CCDC159=HsaEX0013128	100.00	NA	100.00	NA	85.37	80.00	NA	NA	100.00	NA	NA	NA
ZNF530=HsaEX0073877	NA	NA	NA	NA	57.58	NA	NA	NA	44.00	NA	NA	NA
GUSBP1=HsaEX1016421	25.25	23.29	24.14	28.51	30.52	35.87	18.13	41.08	31.99	27.86	37.12	32.95
UPP1=HsaEX0069469	41.92	47.31	42.40	37.64	46.86	44.48	52.63	44.19	41.29	33.91	40.38	50.23
UPP1=HsaEX0069471	32.07	38.20	35.64	23.72	35.73	33.19	38.54	36.81	31.90	32.40	24.46	39.94
KREMEN1=HsaEX0035016	NA	NA	NA	NA	92.59	NA	NA	NA	100.00	NA	NA	NA
KREMEN1=HsaEX0035017	68.42	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
KCTD8=HsaEX0033194	19.68	NA	NA	NA	0.00	NA	NA	NA	5.78	NA	NA	NA
RBM12B=HsaEX0052618	39.84	32.57	50.95	36.56	47.54	50.13	45.73	45.73	57.61	40.13	67.97	63.35
SMTN=HsaEX0060535	74.66	NA	NA	NA	91.54	NA	NA	NA	NA	NA	NA	NA
SMTN=HsaEX0060536	75.06	NA	NA	NA	91.84	NA	NA	NA	NA	NA	NA	NA
PTP4A2=HsaEX0050904	11.44	16.53	8.67	10.00	19.95	31.25	13.60	16.58	17.60	15.38	17.62	18.94
PTP4A2=HsaEX0050905	12.52	23.87	4.82	11.11	13.85	10.00	11.23	22.61	15.10	15.15	20.07	11.20
ADAP2=HsaEX0002617	84.21	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
ADAP2=HsaEX0002620	86.21	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
FAM120C=HsaEX0023877	54.93	NA	NA	NA	66.21	NA	NA	NA	61.56	NA	NA	NA
FAM120C=HsaEX0023878	59.42	NA	NA	NA	69.72	81.25	51.62	76.00	74.53	NA	NA	NA
SCFD2=HsaEX0056459	95.99	100.00	94.52	95.16	99.08	100.00	97.33	100.00	91.07	96.46	96.04	81.97
POU6F1=HsaEX0049244	87.09	NA	95.50	85.36	94.36	100.00	100.00	84.77	90.73	94.39	92.43	83.52
POU6F1=HsaEX0049242	90.54	88.68	88.68	95.24	88.46	76.27	96.00	95.74	82.61	77.36	100.00	73.33
ZDHHC23=HsaEX0072523	NA	NA	NA	NA	36.00	NA	NA	NA	15.62	16.67	NA	7.69
PLA2G6=HsaEX0047969	87.77	NA	NA	NA	100.00	NA	NA	NA	92.00	NA	NA	NA
PLA2G6=HsaEX0047970	9.04	NA	NA	NA	0.00	NA	NA	NA	14.29	NA	NA	NA
PLA2G6=HsaEX0047975	83.33	NA	92.31	NA	78.38	NA	NA	NA	82.35	NA	NA	NA
SS18L1=HsaEX0061818	31.78	26.76	40.48	28.14	38.19	36.91	35.48	43.56	29.98	36.81	25.24	29.20
WDR27=HsaEX0071045	36.87	NA	NA	NA	9.91	4.72	NA	NA	16.76	NA	NA	NA
WDR27=HsaEX0071018	75.24	61.29	80.17	86.47	75.95	74.84	72.22	80.86	70.32	77.78	68.94	65.33
WDR27=HsaEX0071051	87.57	86.06	78.85	100.00	96.93	95.80	96.96	100.00	96.24	95.41	93.69	100.00
WDR27=HsaEX0071053	83.99	76.28	79.61	95.65	80.10	81.56	75.76	84.67	77.97	76.67	76.10	82.49
WDR27=HsaEX0071027	91.39	81.25	91.31	100.00	96.16	93.17	95.63	100.00	94.06	95.31	89.76	100.00
WDR27=HsaEX0071029	86.81	77.78	88.69	94.23	85.36	83.21	83.62	89.66	90.69	92.86	82.34	100.00
WDR27=HsaEX0071034	60.44	NA	NA	NA	47.15	NA	NA	NA	56.97	52.60	59.82	NA
WDR27=HsaEX0071040	87.80	NA	100.00	NA	91.51	88.07	89.19	100.00	95.08	NA	NA	100.00
WDR27=HsaEX0071041	87.17	73.34	100.00	NA	88.59	82.18	89.19	NA	96.44	100.00	NA	100.00
WDR27=HsaEX0071042	25.99	13.25	NA	NA	30.94	NA	35.42	NA	21.15	17.24	NA	17.24
WDR27=HsaEX6050514	93.47	100.00	81.91	100.00	100.00	100.00	100.00	100.00	98.34	100.00	96.32	100.00
WDR27=HsaEX0071026	79.75	78.89	66.35	NA	92.70	88.99	NA	100.00	92.56	91.45	93.47	92.43
WDR27=HsaEX0071036	19.11	NA	NA	NA	15.03	11.26	NA	NA	30.11	NA	NA	NA
WDR27=HsaEX0071046	61.23	NA	NA	NA	70.58	NA	NA	NA	83.19	NA	NA	NA
PROS1=HsaEX0050336	29.24	39.78	14.47	31.46	13.97	14.91	8.61	18.77	19.91	21.03	18.77	20.12
ZFP1=HsaEX0072635	38.37	41.81	27.10	NA	28.91	28.67	27.56	30.21	35.51	32.91	33.02	41.72
ZFP1=HsaEX0072634	15.18	18.73	17.35	9.07	15.84	16.82	4.33	22.64	7.05	20.94	5.22	0.00
RNLS=HsaEX0054180	55.99	NA	81.76	NA	57.82	61.58	NA	NA	57.96	NA	NA	NA
RNLS=HsaEX0054181	59.91	NA	82.85	55.79	70.98	80.25	NA	NA	60.20	89.80	NA	NA
RNLS=HsaEX0054177	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	88.77	92.48	77.64	100.00
OSBP2=HsaEX0044857	NA	NA	NA	NA	100.00	100.00	NA	NA	65.75	NA	NA	NA
PRR16=HsaEX6099580	6.06	NA	0.00	3.45	15.79	14.29	11.11	NA	13.89	4.76	14.29	NA
USP18=HsaEX0069622	94.29	100.00	100.00	80.95	100.00	100.00	100.00	NA	100.00	100.00	100.00	100.00
BRF1=HsaEX0008456	87.02	91.97	76.05	94.93	91.98	97.01	91.59	86.60	98.07	100.00	95.55	100.00
INPP5J=HsaEX0031806	16.51	NA	18.46	20.14	25.34	20.30	29.27	26.25	23.14	11.11	32.24	22.04
INPP5J=HsaEX0031810	90.34	94.91	87.79	89.37	90.61	90.36	85.12	100.00	91.59	94.89	84.08	100.00
LRRC37B=HsaEX1022230	20.13	8.33	NA	NA	26.06	NA	30.58	NA	36.36	22.22	NA	NA
LRRC37B=HsaEX0036590	25.64	NA	NA	NA	24.57	NA	12.73	NA	36.25	NA	NA	NA
LRRC37B=HsaEX0036591	41.74	NA	NA	NA	55.95	NA	NA	NA	62.55	NA	NA	NA
LRRC37B=HsaEX0036592	55.28	NA	65.52	NA	71.01	71.70	87.80	NA	83.05	NA	88.89	87.80
LRRC37B=HsaEX0036594	100.00	NA	NA	NA	74.76	NA	NA	NA	59.16	NA	NA	NA
LRRC37B=HsaEX0036595	100.00	NA	NA	NA	80.36	NA	NA	NA	71.67	NA	NA	NA
NRBP2=HsaEX0043757	79.62	77.78	89.66	68.89	76.42	77.78	77.78	73.13	69.59	66.67	84.91	58.62
PRPF39=HsaEX0050364	27.44	39.24	17.19	30.58	34.15	30.29	43.59	30.43	27.98	35.85	19.35	30.19
ZNF74=HsaEX0074284	42.47	41.77	44.44	41.18	56.28	40.91	57.58	77.05	50.02	40.62	54.41	59.01
ARL15=HsaEX0005859	92.08	88.89	94.44	93.10	88.04	87.88	96.49	80.33	93.81	93.33	88.89	100.00
SP140L=HsaEX0061115	62.16	69.23	57.14	62.79	65.41	68.75	NA	61.90	57.01	50.00	NA	65.96
SP140L=HsaEX0061118	89.48	92.32	94.74	80.65	87.46	84.62	89.61	89.19	94.50	88.24	94.44	100.00
SP140L=HsaEX1038569	60.54	36.00	76.92	68.89	68.55	60.00	70.21	78.72	62.69	62.07	64.44	61.29
TARSL2=HsaEX0063672	94.59	NA	86.67	100.00	88.06	76.92	100.00	90.48	89.19	92.59	100.00	75.00
IFNLR1=HsaEX0031463	95.53	100.00	100.00	NA	94.60	100.00	89.86	NA	94.65	84.56	100.00	100.00
IRF7=HsaEX0032238	71.32	72.77	74.67	NA	88.79	92.46	88.30	85.98	71.32	77.57	65.36	70.22
IRF7=HsaEX0032239	91.19	85.44	94.40	92.76	81.92	83.56	80.28	82.12	70.24	84.26	78.18	53.56
L3MBTL1=HsaEX0035128	100.00	NA	NA	NA	89.19	NA	NA	NA	80.95	NA	NA	NA
L3MBTL1=HsaEX0035129	100.00	NA	NA	NA	85.19	NA	NA	NA	93.10	NA	NA	100.00
L3MBTL1=HsaEX0035130	NA	NA	NA	NA	17.24	NA	NA	NA	9.09	NA	NA	0.00
L3MBTL1=HsaEX0035131	85.19	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
OLFML2A=HsaEX0044719	96.06	94.94	96.88	96.67	83.22	71.43	89.74	95.12	89.19	93.33	84.62	90.48
LMLN=HsaEX0036048	84.00	NA	NA	NA	100.00	NA	NA	NA	93.33	NA	NA	NA
BRWD1=HsaEX0008531	91.30	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
BRWD1=HsaEX0008532	91.80	NA	NA	NA	100.00	NA	NA	NA	85.30	NA	NA	NA
BRWD1=HsaEX0008533	93.92	NA	NA	NA	100.00	NA	NA	NA	86.07	NA	NA	NA
BRWD1=HsaEX0008537	13.04	NA	NA	NA	3.23	NA	0.00	NA	2.33	NA	NA	NA
EP400NL=HsaEX1045902	58.28	NA	NA	NA	63.43	67.76	NA	NA	53.06	NA	NA	NA
EP400NL=HsaEX0022606	14.64	8.46	19.58	14.75	7.19	6.16	6.03	NA	4.10	0.00	5.67	5.70
EP400NL=HsaEX0022607	84.48	100.00	72.53	83.94	92.36	86.90	93.36	100.00	90.39	100.00	82.63	92.93
EP400NL=HsaEX1045903	90.24	NA	NA	NA	89.29	100.00	80.95	NA	100.00	NA	NA	NA
EP400NL=HsaEX0022604	NA	NA	NA	NA	40.43	NA	NA	NA	31.03	NA	NA	NA
CXorf38=HsaEX0018148	73.91	79.38	66.67	78.22	70.44	58.57	86.70	72.34	68.80	71.32	67.06	67.92
ADAMTSL5=HsaEX0002610	57.25	60.00	48.84	62.50	49.68	34.38	54.29	64.29	51.08	48.00	54.55	51.11
WDR53=HsaEX0071206	86.21	90.62	95.34	73.23	81.14	75.91	84.96	83.59	76.53	84.81	76.20	68.97
DNAH14=HsaEX6037021	100.00	NA	NA	NA	90.34	NA	NA	NA	NA	NA	NA	NA
LRCH3=HsaEX0036345	46.46	43.48	39.53	57.58	47.90	54.02	49.25	40.48	43.66	40.85	40.00	51.61
