EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
SLC35A3=HsaEX0059384	24.16	32.04	20.39	18.15	17.81	18.83	12.56	17.15	14.21	13.61	15.26	14.07
SLC35A3=HsaEX0059383	84.03	86.27	87.52	79.55	74.72	70.78	84.96	69.47	81.45	84.32	77.00	82.32
PPL=HsaEX0049466	88.95	89.17	NA	100.00	95.59	90.32	NA	NA	83.48	NA	NA	NA
PPP6C=HsaEX0049799	63.83	NA	NA	NA	47.23	NA	NA	NA	38.95	NA	NA	NA
DLST=HsaEX7107313	NA	NA	NA	NA	93.59	NA	NA	NA	80.71	80.00	NA	NA
ADGRB2=HsaEX0007576	13.10	NA	NA	NA	8.26	NA	NA	NA	19.69	NA	NA	NA
POLR3GL=HsaEX0049128	83.85	83.56	87.88	80.00	72.84	72.36	71.43	75.00	77.56	68.89	80.53	82.18
LRIF1=HsaEX0010084	47.28	49.06	54.03	42.04	41.32	42.08	43.37	37.14	40.75	38.55	36.78	47.30
RWDD3=HsaEX0056010	52.00	52.94	50.00	54.55	34.86	41.18	25.49	32.14	59.29	45.45	62.79	67.57
ZC3H13=HsaEX0072224	30.76	19.48	35.79	34.07	30.74	32.92	29.75	29.23	24.05	23.35	24.24	24.67
ATP5S=HsaEX0006939	68.01	70.99	75.29	59.57	57.49	73.81	58.72	41.06	67.20	74.67	66.94	60.38
AGO3=HsaEX0021975	18.80	2.86	38.34	15.38	NA	NA	17.96	17.78	27.08	29.41	25.00	26.39
ST3GAL3=HsaEX0061961	8.19	NA	13.04	4.00	6.58	0.00	NA	17.24	10.09	NA	13.04	NA
MAP2K2=HsaEX7010286	NA	NA	NA	NA	13.58	NA	NA	NA	19.18	9.21	NA	NA
PAICS=HsaEX7002603	43.19	NA	NA	46.84	44.60	38.42	NA	NA	63.43	NA	NA	NA
PAICS=HsaEX7002604	0.00	NA	NA	NA	8.80	NA	NA	NA	0.00	NA	NA	NA
PRKRIP1=HsaEX0050240	74.31	81.59	74.65	67.67	66.40	70.18	62.13	67.50	72.41	74.69	67.45	76.52
OSGEPL1=HsaEX0044977	93.38	82.46	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
HERC2=HsaEX7008355	71.23	69.34	70.58	73.00	57.71	52.36	61.66	66.63	68.07	62.48	75.96	68.24
STARD8=HsaEX6052106	88.88	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
C6orf203=HsaEX0011328	83.48	NA	83.80	82.10	66.35	NA	NA	83.62	76.07	81.01	NA	NA
SAMD10=HsaEX0056128	42.67	NA	NA	24.46	50.81	55.03	41.11	51.81	50.66	NA	NA	41.48
POMT1=HsaEX6063600	74.52	NA	NA	NA	68.00	NA	NA	89.45	60.92	NA	NA	NA
ZNF331=HsaEX0073435	12.00	21.49	1.91	17.66	7.30	8.32	8.51	4.72	1.63	2.66	2.13	0.00
PRRG1=HsaEX0050452	79.25	77.78	77.78	84.21	88.92	84.62	92.31	90.48	79.84	77.14	90.91	72.00
RLIM=HsaEX0053766	42.97	44.68	43.87	41.74	35.39	31.84	45.12	36.29	36.66	43.59	35.23	31.86
LINC00470=HsaEX7108303	81.27	NA	NA	NA	75.27	NA	NA	NA	62.94	45.13	NA	NA
VPS13B=HsaEX6081666	83.11	NA	73.57	NA	87.45	100.00	NA	72.83	94.37	100.00	NA	100.00
LINC01260=HsaEX7108609	100.00	NA	NA	NA	86.02	NA	NA	NA	81.27	NA	NA	NA
LINC01260=HsaEX7108610	100.00	NA	NA	NA	92.41	NA	NA	NA	85.38	NA	NA	NA
FBXO44=HsaEX0025339	3.07	NA	NA	NA	7.63	NA	NA	NA	26.16	NA	NA	NA
BIVM=HsaEX0008150	76.26	67.05	76.19	86.89	79.21	77.10	80.56	82.02	79.14	79.49	85.19	71.74
TSPAN31=HsaEX6067505	87.19	97.14	84.85	77.78	91.45	93.33	90.59	90.62	94.44	93.55	97.06	92.73
TEC=HsaEX6084255	NA	NA	NA	NA	92.86	NA	NA	NA	100.00	NA	NA	NA
PIGC=HsaEX0047394	15.74	NA	NA	NA	4.00	NA	NA	NA	4.35	NA	NA	NA
ARMC9=HsaEX6019114	91.67	100.00	83.48	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ALDH1L2=HsaEX6068799	100.00	100.00	100.00	100.00	91.15	83.18	100.00	100.00	100.00	100.00	100.00	100.00
ZNF189=HsaEX0073137	49.49	NA	48.72	NA	47.54	46.67	44.19	52.94	58.24	77.78	42.86	58.62
IL11RA=HsaEX0031288	90.02	NA	NA	NA	91.48	82.54	100.00	NA	94.47	NA	NA	89.07
LRRC1=HsaEX0036495	77.27	NA	66.67	82.86	93.48	93.94	88.57	100.00	100.00	100.00	100.00	100.00
BPHL=HsaEX0008325	25.15	NA	NA	NA	11.29	13.11	9.09	NA	14.92	12.83	NA	NA
RDX=HsaEX0052954	91.63	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
SUOX=HsaEX0062919	65.18	82.35	NA	49.94	63.23	55.41	66.67	68.42	68.14	54.84	87.50	62.83
GREB1L=HsaEX6038266	100.00	NA	NA	NA	88.67	NA	NA	NA	100.00	NA	NA	NA
PRDM15=HsaEX6006284	81.80	NA	NA	NA	100.00	100.00	100.00	100.00	100.00	100.00	NA	NA
GOLGA4=HsaEX0027977	60.25	61.72	60.06	58.82	70.55	70.68	61.86	74.66	61.28	56.85	62.16	63.96
NICN1=HsaEX0042898	89.98	92.48	83.78	95.02	94.64	100.00	100.00	84.85	91.80	84.77	95.85	94.51
TM4SF19=HsaEX0065177	NA	NA	NA	NA	73.96	NA	NA	NA	92.23	NA	NA	NA
TM4SF19=HsaEX0065179	100.00	NA	NA	NA	83.51	NA	NA	NA	100.00	NA	NA	NA
ANK2=HsaEX6085897	NA	NA	NA	NA	100.00	NA	NA	NA	83.73	NA	NA	NA
USP53=HsaEX0069983	7.83	0.00	19.82	4.71	7.30	12.44	7.88	1.93	6.81	7.71	8.28	4.61
DDX46=HsaEX0018950	22.54	NA	NA	NA	33.68	NA	NA	13.04	33.72	NA	NA	NA
MSN=HsaEX7004718	100.00	NA	NA	NA	95.12	NA	NA	NA	87.89	92.78	NA	NA
IGSF1=HsaEX6053358	100.00	NA	NA	NA	100.00	NA	NA	NA	87.33	NA	NA	NA
IGSF1=HsaEX6053359	100.00	NA	NA	NA	100.00	NA	NA	NA	90.58	NA	NA	NA
FBXO10=HsaEX0025220	100.00	100.00	100.00	100.00	90.37	93.49	80.77	100.00	100.00	NA	NA	100.00
C9orf3=HsaEX0011648	85.70	77.41	92.84	86.07	77.57	67.13	80.57	90.39	90.95	84.34	86.77	100.00
C9orf3=HsaEX6061975	100.00	NA	NA	NA	95.55	89.26	NA	NA	100.00	NA	NA	NA
C9orf3=HsaEX0011651	NA	NA	NA	NA	94.72	88.58	NA	NA	100.00	NA	NA	NA
DLG2=HsaEX7006210	87.92	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
CCDC122=HsaEX0012946	100.00	NA	NA	NA	100.00	NA	NA	NA	91.34	NA	NA	NA
