TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
NA	NA	NA	NA	NA	NA	LRRC58
NA	NA	NA	NA	NA	NA	IGFBP7
NA	NA	NA	NA	NA	NA	ANKZF1
NA	NA	NA	NA	NA	NA	HDAC11
NA	NA	NA	NA	NA	NA	IFI16
NA	NA	NA	NA	NA	NA	RPL22L1
NA	NA	NA	NA	NA	NA	PPP4R2
NA	NA	NA	NA	NA	NA	CCNL1
NA	NA	NA	NA	NA	NA	RPL9
NA	NA	NA	NA	NA	NA	RPP14
NA	NA	NA	NA	NA	NA	PRRT3
NA	NA	NA	NA	NA	NA	CPA3
NA	NA	NA	NA	NA	NA	ZNF513
NA	NA	NA	NA	NA	NA	KIAA1143
NA	NA	NA	NA	NA	NA	KLF15
NA	NA	NA	NA	NA	NA	RPL39L
NA	NA	NA	NA	NA	NA	LRPAP1
NA	NA	NA	NA	NA	NA	C1orf50
NA	NA	NA	NA	NA	NA	DNAJB14
NA	NA	NA	NA	NA	NA	H2AZ1
NA	NA	NA	NA	NA	NA	PGRMC2
NA	NA	NA	NA	NA	NA	ATRIP
NA	NA	NA	NA	NA	NA	TEX264
NA	NA	NA	NA	NA	NA	WDR82
NA	NA	NA	NA	NA	NA	C4orf3
NA	NA	NA	NA	NA	NA	HMGB2
NA	NA	NA	NA	NA	NA	SAP30
NA	NA	NA	NA	NA	NA	MAD2L1
NA	NA	NA	NA	NA	NA	FBXO8
NA	NA	NA	NA	NA	NA	OTUD4
NA	NA	NA	NA	NA	NA	PGGT1B
NA	NA	NA	NA	NA	NA	CAGE1
NA	NA	NA	NA	NA	NA	TLR3
NA	NA	NA	NA	NA	NA	NSA2
NA	NA	NA	NA	NA	NA	UQCRQ
NA	NA	NA	NA	NA	NA	LEAP2
NA	NA	NA	NA	NA	NA	TLX3
NA	NA	NA	NA	NA	NA	CITED2
NA	NA	NA	NA	NA	NA	TBX20
NA	NA	NA	NA	NA	NA	DAGLB
NA	NA	NA	NA	NA	NA	RPS14
NA	NA	NA	NA	NA	NA	PTTG1
NA	NA	NA	NA	NA	NA	HEY1
NA	NA	NA	NA	NA	NA	FABP5
NA	NA	NA	NA	NA	NA	COL1A2
NA	NA	NA	NA	NA	NA	SOX17
NA	NA	NA	NA	NA	NA	TMUB1
NA	NA	NA	NA	NA	NA	FMC1
NA	NA	NA	NA	NA	NA	YWHAZ
NA	NA	NA	NA	NA	NA	DCAF13
NA	NA	NA	NA	NA	NA	PDP1
NA	NA	NA	NA	NA	NA	RPP25L
NA	NA	NA	NA	NA	NA	FAM219A
NA	NA	NA	NA	NA	NA	MYORG
NA	NA	NA	NA	NA	NA	CCDC171
NA	NA	NA	NA	NA	NA	NFIL3
NA	NA	NA	NA	NA	NA	QNG1
NA	NA	NA	NA	NA	NA	HNRNPK
NA	NA	NA	NA	NA	NA	PGAP4
NA	NA	NA	NA	NA	NA	ZHX1
NA	NA	NA	NA	NA	NA	DYNLT3
NA	NA	NA	NA	NA	NA	MID1IP1
NA	NA	NA	NA	NA	NA	VEGFD
NA	NA	NA	NA	NA	NA	AQP3
NA	NA	NA	NA	NA	NA	PIGO
NA	NA	NA	NA	NA	NA	SLITRK5
NA	NA	NA	NA	NA	NA	SPTSSA
NA	NA	NA	NA	NA	NA	RPL36AL
NA	NA	NA	NA	NA	NA	DNAAF2
NA	NA	NA	NA	NA	NA	ZNF22
NA	NA	NA	NA	NA	NA	ARF6
NA	NA	NA	NA	NA	NA	VDAC2
NA	NA	NA	NA	NA	NA	COMTD1
NA	NA	NA	NA	NA	NA	ZNF503
NA	NA	NA	NA	NA	NA	FUNDC2
NA	NA	NA	NA	NA	NA	PIP4P1
NA	NA	NA	NA	NA	NA	UBTD1
NA	NA	NA	NA	NA	NA	ANKRD2
NA	NA	NA	NA	NA	NA	MOAP1
NA	NA	NA	NA	NA	NA	SMCO4
NA	NA	NA	NA	NA	NA	HTRA1
NA	NA	NA	NA	NA	NA	ADAMTS15
NA	NA	NA	NA	NA	NA	NDUFB8
NA	NA	NA	NA	NA	NA	ZFYVE19
NA	NA	NA	NA	NA	NA	LARP6
NA	NA	NA	NA	NA	NA	COX11
NA	NA	NA	NA	NA	NA	ZNF202
NA	NA	NA	NA	NA	NA	FAM227B
NA	NA	NA	NA	NA	NA	WBP1L
NA	NA	NA	NA	NA	NA	SMPD1
NA	NA	NA	NA	NA	NA	TAF10
NA	NA	NA	NA	NA	NA	RPL27A
NA	NA	NA	NA	NA	NA	CENPN
NA	NA	NA	NA	NA	NA	ATMIN
NA	NA	NA	NA	NA	NA	MAPK7
NA	NA	NA	NA	NA	NA	TK2
NA	NA	NA	NA	NA	NA	TMED3
NA	NA	NA	NA	NA	NA	RRAD
NA	NA	NA	NA	NA	NA	CIAO2B
NA	NA	NA	NA	NA	NA	HSP90B1
NA	NA	NA	NA	NA	NA	BLCAP
NA	NA	NA	NA	NA	NA	ATF7IP2
NA	NA	NA	NA	NA	NA	BEX3
NA	NA	NA	NA	NA	NA	B2M
NA	NA	NA	NA	NA	NA	GOLM2
NA	NA	NA	NA	NA	NA	BMERB1
NA	NA	NA	NA	NA	NA	FAM111A
NA	NA	NA	NA	NA	NA	PCLAF
NA	NA	NA	NA	NA	NA	PEX11A
NA	NA	NA	NA	NA	NA	TMEM170A
NA	NA	NA	NA	NA	NA	MESP1
NA	NA	NA	NA	NA	NA	TERF2IP
NA	NA	NA	NA	NA	NA	ZBTB39
NA	NA	NA	NA	NA	NA	MRPL16
NA	NA	NA	NA	NA	NA	TSC22D4
NA	NA	NA	NA	NA	NA	AKTIP
NA	NA	NA	NA	NA	NA	PDIA3
NA	NA	NA	NA	NA	NA	NUDT21
NA	NA	NA	NA	NA	NA	NKX3-1
NA	NA	NA	NA	NA	NA	TEF
NA	NA	NA	NA	NA	NA	SNRPD1
NA	NA	NA	NA	NA	NA	ENDOG
NA	NA	NA	NA	NA	NA	C15orf39
NA	NA	NA	NA	NA	NA	GPRC5B
NA	NA	NA	NA	NA	NA	CRK
NA	NA	NA	NA	NA	NA	MYO5B
NA	NA	NA	NA	NA	NA	IRGQ
NA	NA	NA	NA	NA	NA	ZNF646
NA	NA	NA	NA	NA	NA	SMG8
NA	NA	NA	NA	NA	NA	CDT1
NA	NA	NA	NA	NA	NA	RSKR
NA	NA	NA	NA	NA	NA	PROCA1
NA	NA	NA	NA	NA	NA	RPL13
NA	NA	NA	NA	NA	NA	ZNF641
NA	NA	NA	NA	NA	NA	TUBA1A
NA	NA	NA	NA	NA	NA	TUBA1C
NA	NA	NA	NA	NA	NA	SPINT2
NA	NA	NA	NA	NA	NA	C19orf33
NA	NA	NA	NA	NA	NA	MFSD3
NA	NA	NA	NA	NA	NA	CD320
NA	NA	NA	NA	NA	NA	CDK2AP2
NA	NA	NA	NA	NA	NA	MIS12
NA	NA	NA	NA	NA	NA	ATP5PD
NA	NA	NA	NA	NA	NA	E4F1
NA	NA	NA	NA	NA	NA	DNASE1L2
NA	NA	NA	NA	NA	NA	SDHAF2
NA	NA	NA	NA	NA	NA	FTH1
NA	NA	NA	NA	NA	NA	RPSA
NA	NA	NA	NA	NA	NA	FADD
NA	NA	NA	NA	NA	NA	PAFAH1B2
NA	NA	NA	NA	NA	NA	NUDT16L1
NA	NA	NA	NA	NA	NA	KIAA1586
NA	NA	NA	NA	NA	NA	VASN
NA	NA	NA	NA	NA	NA	RNF187
NA	NA	NA	NA	NA	NA	MAPK1IP1L
NA	NA	NA	NA	NA	NA	DDIT4
NA	NA	NA	NA	NA	NA	UBTD2
NA	NA	NA	NA	NA	NA	POLR2J3
NA	NA	NA	NA	NA	NA	IRF2BP2
NA	NA	NA	NA	NA	NA	UQCC5
NA	NA	NA	NA	NA	NA	COA6
NA	NA	NA	NA	NA	NA	BMI1
NA	NA	NA	NA	NA	NA	MPLKIP
NA	NA	NA	NA	NA	NA	PPDPFL
NA	NA	NA	NA	NA	NA	ARF4
NA	NA	NA	NA	NA	NA	MFSD2A
NA	NA	NA	NA	NA	NA	DTYMK
NA	NA	NA	NA	NA	NA	STIP1
NA	NA	NA	NA	NA	NA	PHYHIP
NA	NA	NA	NA	NA	NA	POLR3D
NA	NA	NA	NA	NA	NA	FEN1
NA	NA	NA	NA	NA	NA	ING2
NA	NA	NA	NA	NA	NA	CDKN2AIP
NA	NA	NA	NA	NA	NA	TMEM223
NA	NA	NA	NA	NA	NA	TMUB2
NA	NA	NA	NA	NA	NA	ZSWIM1
NA	NA	NA	NA	NA	NA	NDUFS5
NA	NA	NA	NA	NA	NA	LRP1B
NA	NA	NA	NA	NA	NA	SEMA4C
NA	NA	NA	NA	NA	NA	GSTM4
NA	NA	NA	NA	NA	NA	ABHD15
NA	NA	NA	NA	NA	NA	ZBTB5
NA	NA	NA	NA	NA	NA	DDX19A
NA	NA	NA	NA	NA	NA	TNIP2
NA	NA	NA	NA	NA	NA	C2orf68
NA	NA	NA	NA	NA	NA	TMEM150A
NA	NA	NA	NA	NA	NA	RNF181
NA	NA	NA	NA	NA	NA	MAT2A
NA	NA	NA	NA	NA	NA	SLC35G2
NA	NA	NA	NA	NA	NA	PPIC
NA	NA	NA	NA	NA	NA	FEM1B
NA	NA	NA	NA	NA	NA	COMMD8
NA	NA	NA	NA	NA	NA	UQCRFS1
NA	NA	NA	NA	NA	NA	MAP2K1
NA	NA	NA	NA	NA	NA	ATF5
NA	NA	NA	NA	NA	NA	CPT1C
NA	NA	NA	NA	NA	NA	MN1
NA	NA	NA	NA	NA	NA	CCDC126
NA	NA	NA	NA	NA	NA	LMAN2
NA	NA	NA	NA	NA	NA	RAB24
NA	NA	NA	NA	NA	NA	SLC50A1
NA	NA	NA	NA	NA	NA	GPRIN1
NA	NA	NA	NA	NA	NA	CRADD
NA	NA	NA	NA	NA	NA	GPR183
NA	NA	NA	NA	NA	NA	CLIC3
NA	NA	NA	NA	NA	NA	RAMAC
NA	NA	NA	NA	NA	NA	SPNS1
NA	NA	NA	NA	NA	NA	MT1E
NA	NA	NA	NA	NA	NA	DCXR
NA	NA	NA	NA	NA	NA	BTD
NA	NA	NA	NA	NA	NA	TRIM56
NA	NA	NA	NA	NA	NA	MUC3A
NA	NA	NA	NA	NA	NA	KLF13
NA	NA	NA	NA	NA	NA	ZNF747
NA	NA	NA	NA	NA	NA	ZNF768
NA	NA	NA	NA	NA	NA	TMEM42
NA	NA	NA	NA	NA	NA	YWHAG
NA	NA	NA	NA	NA	NA	HNRNPA3
NA	NA	NA	NA	NA	NA	CCDC144A
NA	NA	NA	NA	NA	NA	NANP
NA	NA	NA	NA	NA	NA	ADRA1B
NA	NA	NA	NA	NA	NA	ADPRM
NA	NA	NA	NA	NA	NA	GON7
NA	NA	NA	NA	NA	NA	ELP5
NA	NA	NA	NA	NA	NA	GABARAP
NA	NA	NA	NA	NA	NA	B3GNT2
NA	NA	NA	NA	NA	NA	TMED10
NA	NA	NA	NA	NA	NA	SETMAR
NA	NA	NA	NA	NA	NA	SLC30A1
NA	NA	NA	NA	NA	NA	ZNF804A
NA	NA	NA	NA	NA	NA	KRT8
NA	NA	NA	NA	NA	NA	PYM1
NA	NA	NA	NA	NA	NA	PA2G4
NA	NA	NA	NA	NA	NA	ARL6IP1
NA	NA	NA	NA	NA	NA	SMAGP
NA	NA	NA	NA	NA	NA	CDH2
NA	NA	NA	NA	NA	NA	SIX2
NA	NA	NA	NA	NA	NA	COMMD5
NA	NA	NA	NA	NA	NA	RNF34
NA	NA	NA	NA	NA	NA	SOCS6
NA	NA	NA	NA	NA	NA	ZNF296
NA	NA	NA	NA	NA	NA	HOXB9
NA	NA	NA	NA	NA	NA	GPR37
NA	NA	NA	NA	NA	NA	CDCA4
NA	NA	NA	NA	NA	NA	CHCHD7
NA	NA	NA	NA	NA	NA	MRFAP1L2
NA	NA	NA	NA	NA	NA	KBTBD2
NA	NA	NA	NA	NA	NA	TRIAP1
NA	NA	NA	NA	NA	NA	RPS9
NA	NA	NA	NA	NA	NA	TPT1-AS1
NA	NA	NA	NA	NA	NA	CAVIN3
NA	NA	NA	NA	NA	NA	PLAC1
NA	NA	NA	NA	NA	NA	PYGO1
NA	NA	NA	NA	NA	NA	PKIA
NA	NA	NA	NA	NA	NA	SOX7
NA	NA	NA	NA	NA	NA	C11orf24
NA	NA	NA	NA	NA	NA	NRTN
NA	NA	NA	NA	NA	NA	JAGN1
NA	NA	NA	NA	NA	NA	SOCS5
NA	NA	NA	NA	NA	NA	C1GALT1C1
NA	NA	NA	NA	NA	NA	BBLN
NA	NA	NA	NA	NA	NA	ZNF672
NA	NA	NA	NA	NA	NA	ZNF692
NA	NA	NA	NA	NA	NA	NAIF1
NA	NA	NA	NA	NA	NA	TMEM37
NA	NA	NA	NA	NA	NA	FAM98B
NA	NA	NA	NA	NA	NA	ZDHHC16
NA	NA	NA	NA	NA	NA	PGAM1
NA	NA	NA	NA	NA	NA	APLN
NA	NA	NA	NA	NA	NA	MRPL36
NA	NA	NA	NA	NA	NA	ZNF524
NA	NA	NA	NA	NA	NA	DSEL
NA	NA	NA	NA	NA	NA	DLK2
NA	NA	NA	NA	NA	NA	ZNF562
NA	NA	NA	NA	NA	NA	ZNF561
NA	NA	NA	NA	NA	NA	LRRC8C
NA	NA	NA	NA	NA	NA	LRRC8D
NA	NA	NA	NA	NA	NA	BCL2L1
NA	NA	NA	NA	NA	NA	ENC1
NA	NA	NA	NA	NA	NA	SPSB1
NA	NA	NA	NA	NA	NA	PLEKHG5
NA	NA	NA	NA	NA	NA	BCL2
NA	NA	NA	NA	NA	NA	METTL18
NA	NA	NA	NA	NA	NA	NINJ2
NA	NA	NA	NA	NA	NA	RRM2
NA	NA	NA	NA	NA	NA	RPS21
NA	NA	NA	NA	NA	NA	RPS7
NA	NA	NA	NA	NA	NA	PRNP
NA	NA	NA	NA	NA	NA	MIR31HG
NA	NA	NA	NA	NA	NA	PPIH
NA	NA	NA	NA	NA	NA	ZNF57
NA	NA	NA	NA	NA	NA	SHLD1
NA	NA	NA	NA	NA	NA	SYNPO
NA	NA	NA	NA	NA	NA	ZNF556
NA	NA	NA	NA	NA	NA	RAB33B
NA	NA	NA	NA	NA	NA	KLF11
NA	NA	NA	NA	NA	NA	TEFM
NA	NA	NA	NA	NA	NA	MRPL13
NA	NA	NA	NA	NA	NA	MALT1
NA	NA	NA	NA	NA	NA	ISG20
NA	NA	NA	NA	NA	NA	MBOAT1
NA	NA	NA	NA	NA	NA	PAIP1
NA	NA	NA	NA	NA	NA	ZNF131
NA	NA	NA	NA	NA	NA	MACROD2
NA	NA	NA	NA	NA	NA	DPAGT1
NA	NA	NA	NA	NA	NA	BSG
NA	NA	NA	NA	NA	NA	HINFP
NA	NA	NA	NA	NA	NA	CERS6
NA	NA	NA	NA	NA	NA	COPRS
NA	NA	NA	NA	NA	NA	TP53RK
NA	NA	NA	NA	NA	NA	BPGM
NA	NA	NA	NA	NA	NA	ALG14
NA	NA	NA	NA	NA	NA	SUCLG2
NA	NA	NA	NA	NA	NA	STARD5
NA	NA	NA	NA	NA	NA	CSDC2
NA	NA	NA	NA	NA	NA	GNB2
NA	NA	NA	NA	NA	NA	GNG12
NA	NA	NA	NA	NA	NA	PRSS27
NA	NA	NA	NA	NA	NA	COPS9
NA	NA	NA	NA	NA	NA	GTPBP2
NA	NA	NA	NA	NA	NA	TCEAL1
NA	NA	NA	NA	NA	NA	ZNF24
NA	NA	NA	NA	NA	NA	PPP1CA
NA	NA	NA	NA	NA	NA	CHCHD1
NA	NA	NA	NA	NA	NA	EFEMP2
NA	NA	NA	NA	NA	NA	WASHC2C
NA	NA	NA	NA	NA	NA	TMEM134
NA	NA	NA	NA	NA	NA	FUT10
NA	NA	NA	NA	NA	NA	CFL1
NA	NA	NA	NA	NA	NA	PSME3IP1
NA	NA	NA	NA	NA	NA	RAB43
NA	NA	NA	NA	NA	NA	RPL38
NA	NA	NA	NA	NA	NA	SSH3
NA	NA	NA	NA	NA	NA	SP3
NA	NA	NA	NA	NA	NA	DHCR7
NA	NA	NA	NA	NA	NA	LVRN
NA	NA	NA	NA	NA	NA	RNASEH2C
NA	NA	NA	NA	NA	NA	LCLAT1
NA	NA	NA	NA	NA	NA	GXYLT2
NA	NA	NA	NA	NA	NA	DCAKD
NA	NA	NA	NA	NA	NA	ARPP21
NA	NA	NA	NA	NA	NA	TADA2B
NA	NA	NA	NA	NA	NA	GRK2
NA	NA	NA	NA	NA	NA	RELA
NA	NA	NA	NA	NA	NA	ZNF680
NA	NA	NA	NA	NA	NA	FAM222B
NA	NA	NA	NA	NA	NA	BNC2
NA	NA	NA	NA	NA	NA	HPSE
NA	NA	NA	NA	NA	NA	COQ2
NA	NA	NA	NA	NA	NA	TRMT112
NA	NA	NA	NA	NA	NA	MRPL57
NA	NA	NA	NA	NA	NA	ESRRA
NA	NA	NA	NA	NA	NA	MTX1
NA	NA	NA	NA	NA	NA	CKS1B
NA	NA	NA	NA	NA	NA	AHSA2P
NA	NA	NA	NA	NA	NA	GLRX
NA	NA	NA	NA	NA	NA	SYT12
NA	NA	NA	NA	NA	NA	SLC2A14
NA	NA	NA	NA	NA	NA	MZT2A
NA	NA	NA	NA	NA	NA	ZNF449
NA	NA	NA	NA	NA	NA	TRIB1
NA	NA	NA	NA	NA	NA	OLR1
NA	NA	NA	NA	NA	NA	ARV1
NA	NA	NA	NA	NA	NA	NAA20
NA	NA	NA	NA	NA	NA	MICOS10
NA	NA	NA	NA	NA	NA	EHBP1L1
NA	NA	NA	NA	NA	NA	THAP2
NA	NA	NA	NA	NA	NA	PPP1R14B
NA	NA	NA	NA	NA	NA	ZNRD2
NA	NA	NA	NA	NA	NA	FKBP2
NA	NA	NA	NA	NA	NA	MST1
NA	NA	NA	NA	NA	NA	TNFRSF10C
NA	NA	NA	NA	NA	NA	MOB1B
NA	NA	NA	NA	NA	NA	ZNF622
NA	NA	NA	NA	NA	NA	SNX33
NA	NA	NA	NA	NA	NA	CIMIP2C
NA	NA	NA	NA	NA	NA	NABP1
NA	NA	NA	NA	NA	NA	NUDT4
NA	NA	NA	NA	NA	NA	NMNAT1
NA	NA	NA	NA	NA	NA	LRFN4
NA	NA	NA	NA	NA	NA	SLC19A1
NA	NA	NA	NA	NA	NA	RCE1
NA	NA	NA	NA	NA	NA	UQCRH
NA	NA	NA	NA	NA	NA	EIF1AX
NA	NA	NA	NA	NA	NA	TOMM20
NA	NA	NA	NA	NA	NA	AGFG1
NA	NA	NA	NA	NA	NA	CNP
NA	NA	NA	NA	NA	NA	EIF1
NA	NA	NA	NA	NA	NA	ENDOV
NA	NA	NA	NA	NA	NA	NET1
NA	NA	NA	NA	NA	NA	ZNF791
NA	NA	NA	NA	NA	NA	GPR160
NA	NA	NA	NA	NA	NA	CBX2
NA	NA	NA	NA	NA	NA	KRT28
NA	NA	NA	NA	NA	NA	RBM4B
NA	NA	NA	NA	NA	NA	ATP5MK
NA	NA	NA	NA	NA	NA	C1QTNF1
NA	NA	NA	NA	NA	NA	MARCHF3
NA	NA	NA	NA	NA	NA	SWSAP1
NA	NA	NA	NA	NA	NA	RBM4
NA	NA	NA	NA	NA	NA	XXYLT1
NA	NA	NA	NA	NA	NA	UBXN2A
NA	NA	NA	NA	NA	NA	KLHL15
NA	NA	NA	NA	NA	NA	GNG5
NA	NA	NA	NA	NA	NA	CTSF
NA	NA	NA	NA	NA	NA	UQCC4
NA	NA	NA	NA	NA	NA	FAM174A
NA	NA	NA	NA	NA	NA	RGMB
NA	NA	NA	NA	NA	NA	ZDHHC24
NA	NA	NA	NA	NA	NA	CTU2
NA	NA	NA	NA	NA	NA	PIGG
NA	NA	NA	NA	NA	NA	ADCY6
NA	NA	NA	NA	NA	NA	ZBTB4
NA	NA	NA	NA	NA	NA	ZHX3
NA	NA	NA	NA	NA	NA	SLC16A13
NA	NA	NA	NA	NA	NA	SNHG11
NA	NA	NA	NA	NA	NA	KCNJ5-AS1
NA	NA	NA	NA	NA	NA	RALGAPA1
NA	NA	NA	NA	NA	NA	LIG4
NA	NA	NA	NA	NA	NA	ZWILCH
NA	NA	NA	NA	NA	NA	RPL4
NA	NA	NA	NA	NA	NA	SNAPC5
NA	NA	NA	NA	NA	NA	C12orf76
NA	NA	NA	NA	NA	NA	ANKRD36C
NA	NA	NA	NA	NA	NA	PELI3
NA	NA	NA	NA	NA	NA	IL20RB
NA	NA	NA	NA	NA	NA	AKIRIN1
NA	NA	NA	NA	NA	NA	MSL2
NA	NA	NA	NA	NA	NA	ANGEL2
NA	NA	NA	NA	NA	NA	B4GAT1
NA	NA	NA	NA	NA	NA	TMEM167A
NA	NA	NA	NA	NA	NA	RESF1
NA	NA	NA	NA	NA	NA	LARP7
NA	NA	NA	NA	NA	NA	FGFBP3
NA	NA	NA	NA	NA	NA	BRMS1
NA	NA	NA	NA	NA	NA	RPL15
NA	NA	NA	NA	NA	NA	FAM241A
NA	NA	NA	NA	NA	NA	SRP72
NA	NA	NA	NA	NA	NA	THAP6
NA	NA	NA	NA	NA	NA	PDE12
NA	NA	NA	NA	NA	NA	GLMN
NA	NA	NA	NA	NA	NA	YIF1A
NA	NA	NA	NA	NA	NA	NDUFA11
NA	NA	NA	NA	NA	NA	RSRC1
NA	NA	NA	NA	NA	NA	ASPHD1
NA	NA	NA	NA	NA	NA	KCTD13
NA	NA	NA	NA	NA	NA	TEX36
NA	NA	NA	NA	NA	NA	CTBP2
NA	NA	NA	NA	NA	NA	CHST2
NA	NA	NA	NA	NA	NA	SNHG29
NA	NA	NA	NA	NA	NA	UBE2C
NA	NA	NA	NA	NA	NA	VCPIP1
NA	NA	NA	NA	NA	NA	PDIK1L
NA	NA	NA	NA	NA	NA	ZNF654
NA	NA	NA	NA	NA	NA	MARCKSL1
NA	NA	NA	NA	NA	NA	YPEL2
NA	NA	NA	NA	NA	NA	PSMD2
NA	NA	NA	NA	NA	NA	PARL
NA	NA	NA	NA	NA	NA	DDIT3
NA	NA	NA	NA	NA	NA	PCCA
NA	NA	NA	NA	NA	NA	ZNF408
NA	NA	NA	NA	NA	NA	CTDSP2
NA	NA	NA	NA	NA	NA	MED16
NA	NA	NA	NA	NA	NA	CENPS
NA	NA	NA	NA	NA	NA	LSM1
NA	NA	NA	NA	NA	NA	BANF1
NA	NA	NA	NA	NA	NA	CHRNA7
NA	NA	NA	NA	NA	NA	TMEM9B
NA	NA	NA	NA	NA	NA	PTPN2
NA	NA	NA	NA	NA	NA	SMAD2
NA	NA	NA	NA	NA	NA	EIF3F
NA	NA	NA	NA	NA	NA	CLTB
NA	NA	NA	NA	NA	NA	RFESD
NA	NA	NA	NA	NA	NA	MCTP1
NA	NA	NA	NA	NA	NA	CLCF1
NA	NA	NA	NA	NA	NA	LIPT2
NA	NA	NA	NA	NA	NA	DRAP1
NA	NA	NA	NA	NA	NA	LONRF3
NA	NA	NA	NA	NA	NA	UCP2
NA	NA	NA	NA	NA	NA	C11orf68
NA	NA	NA	NA	NA	NA	PAAF1
NA	NA	NA	NA	NA	NA	MRPL48
NA	NA	NA	NA	NA	NA	RAB6A
NA	NA	NA	NA	NA	NA	FOSL1
NA	NA	NA	NA	NA	NA	TMEM70
NA	NA	NA	NA	NA	NA	ERCC6L2-AS1
NA	NA	NA	NA	NA	NA	RMI2
NA	NA	NA	NA	NA	NA	TOM1L2
NA	NA	NA	NA	NA	NA	MTLN
NA	NA	NA	NA	NA	NA	B3GNTL1
NA	NA	NA	NA	NA	NA	TOMM5
NA	NA	NA	NA	NA	NA	SLC35E3
NA	NA	NA	NA	NA	NA	RUVBL1
NA	NA	NA	NA	NA	NA	MSRA
NA	NA	NA	NA	NA	NA	CTDNEP1
NA	NA	NA	NA	NA	NA	BAIAP2
NA	NA	NA	NA	NA	NA	HOXD8
NA	NA	NA	NA	NA	NA	ZDHHC21
NA	NA	NA	NA	NA	NA	PLEKHF2
NA	NA	NA	NA	NA	NA	ARL4D
NA	NA	NA	NA	NA	NA	DOK7
NA	NA	NA	NA	NA	NA	TUBB6
NA	NA	NA	NA	NA	NA	LYSMD3
NA	NA	NA	NA	NA	NA	MBLAC2
NA	NA	NA	NA	NA	NA	TPRN
NA	NA	NA	NA	NA	NA	SLC35A4
NA	NA	NA	NA	NA	NA	IP6K1
NA	NA	NA	NA	NA	NA	SSNA1
NA	NA	NA	NA	NA	NA	YES1
NA	NA	NA	NA	NA	NA	DLEU1
NA	NA	NA	NA	NA	NA	TMEM39A
NA	NA	NA	NA	NA	NA	BNIP3
NA	NA	NA	NA	NA	NA	SMIM19
NA	NA	NA	NA	NA	NA	ACBD7
NA	NA	NA	NA	NA	NA	ANAPC2
NA	NA	NA	NA	NA	NA	ZBTB8OS
NA	NA	NA	NA	NA	NA	SLC35G1
NA	NA	NA	NA	NA	NA	COX8A
NA	NA	NA	NA	NA	NA	ZSCAN2
NA	NA	NA	NA	NA	NA	HSD11B2
NA	NA	NA	NA	NA	NA	CRLF3
NA	NA	NA	NA	NA	NA	RNPEP
NA	NA	NA	NA	NA	NA	DMRTA1
NA	NA	NA	NA	NA	NA	KCMF1
NA	NA	NA	NA	NA	NA	SPRYD4
NA	NA	NA	NA	NA	NA	SYNE3
NA	NA	NA	NA	NA	NA	CLK2
NA	NA	NA	NA	NA	NA	ZNF575
NA	NA	NA	NA	NA	NA	WDR25
NA	NA	NA	NA	NA	NA	PLAAT3
NA	NA	NA	NA	NA	NA	RMDN1
NA	NA	NA	NA	NA	NA	MEX3C
NA	NA	NA	NA	NA	NA	LRRC37A
NA	NA	NA	NA	NA	NA	BDNF
NA	NA	NA	NA	NA	NA	BOK
NA	NA	NA	NA	NA	NA	NCKAP5
NA	NA	NA	NA	NA	NA	BASP1
NA	NA	NA	NA	NA	NA	IRX5
NA	NA	NA	NA	NA	NA	METRNL
NA	NA	NA	NA	NA	NA	FAM91A1
NA	NA	NA	NA	NA	NA	WSB2
NA	NA	NA	NA	NA	NA	TYMS
NA	NA	NA	NA	NA	NA	PXMP2
NA	NA	NA	NA	NA	NA	TCEANC
NA	NA	NA	NA	NA	NA	TYMSOS
NA	NA	NA	NA	NA	NA	C8G
NA	NA	NA	NA	NA	NA	THAP4
NA	NA	NA	NA	NA	NA	NFATC2IP
NA	NA	NA	NA	NA	NA	FAM89B
NA	NA	NA	NA	NA	NA	SHMT1
NA	NA	NA	NA	NA	NA	SMCR8
NA	NA	NA	NA	NA	NA	MTHFR
NA	NA	NA	NA	NA	NA	DEAF1
NA	NA	NA	NA	NA	NA	SLC38A9
NA	NA	NA	NA	NA	NA	WDR73
NA	NA	NA	NA	NA	NA	RHOG
NA	NA	NA	NA	NA	NA	ANO6
NA	NA	NA	NA	NA	NA	FAM210A
NA	NA	NA	NA	NA	NA	PUS1
NA	NA	NA	NA	NA	NA	CASKIN2
NA	NA	NA	NA	NA	NA	ZBTB38
NA	NA	NA	NA	NA	NA	LY6S-AS1
NA	NA	NA	NA	NA	NA	DLGAP1-AS1
NA	NA	NA	NA	NA	NA	CCDC71
NA	NA	NA	NA	NA	NA	TIMM22
NA	NA	NA	NA	NA	NA	NINJ2-AS1
NA	NA	NA	NA	NA	NA	ZFAS1
NA	NA	NA	NA	NA	NA	PAWR
NA	NA	NA	NA	NA	NA	TGIF1
NA	NA	NA	NA	NA	NA	NR2C2
NA	NA	NA	NA	NA	NA	ACOT4
NA	NA	NA	NA	NA	NA	CAVIN1
NA	NA	NA	NA	NA	NA	ARIH2
NA	NA	NA	NA	NA	NA	IRX3
NA	NA	NA	NA	NA	NA	RABEP2
NA	NA	NA	NA	NA	NA	ATOX1
NA	NA	NA	NA	NA	NA	C18orf32
