TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
HERC1	NA	EXD3	NA	PSMD8	NA	PKN2
NAIP	NA	SLC8B1	NA	PHYHD1	NA	WDR18
CDC14A	NA	ANKRD44	NA	VEPH1	NA	TRAM2
LINC00630	NA	PPL	NA	MSH5	NA	NTN1
ADGRB2	NA	ELOC	NA	SPIN3	NA	MCM10
AC074286.1	NA	TAF1D	NA	GRB10	NA	ADAT1
GAN	NA	TTLL7	NA	ARNT2	NA	PDIA5
RP5-1198O20.4	NA	CFAP44	NA	CUX1	NA	TBC1D22B
AASDH	NA	ARHGEF28	NA	CASP3	NA	SPEN
LOXL1	NA	MEIS1	NA	FBXW11	NA	ZC3H15
FAXC	NA	NPAS2	NA	TANC2	NA	SLK
SEC14L2	NA	ATP7A	NA	BRD1	NA	CYB5R4
DYNC2H1	NA	ZNF782	NA	AMMECR1L	NA	FAM107B
MSC-AS1	NA	CAPRIN2	NA	HHLA3	NA	ME1
REV3L	NA	PROS1	NA	TMEM173	NA	CDK13
C19orf57	NA	MEI1	NA	TMEM41A	NA	FOXJ2
FBXO25	NA	UBOX5	NA	TSPAN17	NA	PDE4A
MSH5	NA	PFKM	NA	UMAD1	NA	DIP2B
SVOPL	NA	TRIP12	NA	NBPF3	NA	SMARCD1
TERT	NA	IQCE	NA	BAZ2B	NA	KDM4A
GBX2	NA	ALDH3A1	NA	PLEKHC1	NA	ASPM
SRR	NA	FLVCR2	NA	PKM	NA	POLR1H
WHAMM	NA	LINC02055	NA	ILK	NA	GOLGA5
IGFLR1	NA	DUSP28	NA	POLB	NA	LRRC40
DPY30	NA	SUB1	NA	CSNK1G3	NA	EML1
ABCC3	NA	EME2	NA	SLC25A23	NA	KIF26A
SLC25A27	NA	SPEF2	NA	FHAD1	NA	ATG2B
USP45	NA	SLC2A11	NA	JMJD1C	NA	ARFGEF1
RP13-349O20.2	NA	AC091878.1	NA	TET1	NA	FECH
MAP3K6	NA	FBXO25	NA	AGTPBP1	NA	PFKP
PDE2A	NA	HEXIM2	NA	ZNF678	NA	SP100
CCDC189	NA	FENDRR	NA	LINC01184	NA	TRAM1
THBS3	NA	NPHP3	NA	KIAA1551	NA	STOML1
RELL2	NA	ZNF805	NA	STAT2	NA	DNTTIP2
FCGRT	NA	MOK	NA	DOK1	NA	TP53BP1
LINC00470	NA	PADI1	NA	ZNF81	NA	DHX8
MCF2L2	NA	NIN	NA	AP3B2	NA	PRKCZ
CEP162	NA	DNM1	NA	NASP	NA	IDH3G
RAP1GAP2	NA	ZNF827	NA	MRPL33	NA	ROCK1
RNF19A	NA	CYP2U1	NA	AHSA2	NA	PDK3
LINC01260	NA	FAM151B	NA	OXSM	NA	IFI35
BANP	NA	EIF3J	NA	NFIC	NA	OTUD5
