EXPERIMENT	TYPE	EVENT	DIRECTION
HeLa-SRRM2-KD	Exon	HsaEX0074200	UP
HeLa-SRRM2-KD	Exon	HsaEX0017352	UP
HeLa-SRRM2-KD	Exon	HsaEX0071539	UP
HeLa-SRRM2-KD	Exon	HsaEX0058974	UP
HeLa-SRRM2-KD	Exon	HsaEX0050089	UP
HeLa-SRRM2-KD	Exon	HsaEX0059687	UP
HeLa-SRRM2-KD	Exon	HsaEX0003582	UP
HeLa-SRRM2-KD	Exon	HsaEX6091159	UP
HeLa-SRRM2-KD	Exon	HsaEX0004717	UP
HeLa-SRRM2-KD	Exon	HsaEX0033365	UP
HeLa-SRRM2-KD	Exon	HsaEX0049776	UP
HeLa-SRRM2-KD	Exon	HsaEX0039521	UP
HeLa-SRRM2-KD	Exon	HsaEX0020009	UP
HeLa-SRRM2-KD	Exon	HsaEX1002871	UP
HeLa-SRRM2-KD	Exon	HsaEX0066855	UP
HeLa-SRRM2-KD	Exon	HsaEX0025861	UP
HeLa-SRRM2-KD	Exon	HsaEX0043088	UP
HeLa-SRRM2-KD	Exon	HsaEX0024727	UP
HeLa-SRRM2-KD	Exon	HsaEX0000548	UP
HeLa-SRRM2-KD	Exon	HsaEX0028109	UP
HeLa-SRRM2-KD	Exon	HsaEX0016089	UP
HeLa-SRRM2-KD	Exon	HsaEX0058418	UP
HeLa-SRRM2-KD	Exon	HsaEX0065299	UP
HeLa-SRRM2-KD	Exon	HsaEX0027912	UP
HeLa-SRRM2-KD	Exon	HsaEX0046304	UP
HeLa-SRRM2-KD	Exon	HsaEX6047250	UP
HeLa-SRRM2-KD	Exon	HsaEX0066103	UP
HeLa-SRRM2-KD	Exon	HsaEX0046583	UP
HeLa-SRRM2-KD	Exon	HsaEX0022927	UP
HeLa-SRRM2-KD	Exon	HsaEX0051915	UP
HeLa-SRRM2-KD	Exon	HsaEX0047797	UP
HeLa-SRRM2-KD	Exon	HsaEX0057058	UP
HeLa-SRRM2-KD	Exon	HsaEX0029497	UP
HeLa-SRRM2-KD	Exon	HsaEX0074363	UP
HeLa-SRRM2-KD	Exon	HsaEX0005857	UP
HeLa-SRRM2-KD	Exon	HsaEX0024341	UP
HeLa-SRRM2-KD	Exon	HsaEX0042368	UP
HeLa-SRRM2-KD	Exon	HsaEX0053570	UP
HeLa-SRRM2-KD	Exon	HsaEX0004504	UP
HeLa-SRRM2-KD	Exon	HsaEX0001737	UP
HeLa-SRRM2-KD	Exon	HsaEX0043725	UP
HeLa-SRRM2-KD	Exon	HsaEX0028594	UP
HeLa-SRRM2-KD	Exon	HsaEX0021024	UP
HeLa-SRRM2-KD	Exon	HsaEX1003254	UP
HeLa-SRRM2-KD	Exon	HsaEX0023114	UP
HeLa-SRRM2-KD	Exon	HsaEX0049014	UP
HeLa-SRRM2-KD	Exon	HsaEX0074652	UP
HeLa-SRRM2-KD	Exon	HsaEX1007664	UP
HeLa-SRRM2-KD	Exon	HsaEX0010753	UP
HeLa-SRRM2-KD	Exon	HsaEX0003392	UP
HeLa-SRRM2-KD	Exon	HsaEX0073536	UP
HeLa-SRRM2-KD	Exon	HsaEX0040616	UP
HeLa-SRRM2-KD	Exon	HsaEX0057301	UP
HeLa-SRRM2-KD	Exon	HsaEX0062005	UP
HeLa-SRRM2-KD	Exon	HsaEX6008577	UP
HeLa-SRRM2-KD	Exon	HsaEX6062144	UP
HeLa-SRRM2-KD	Exon	HsaEX6018444	UP
HeLa-SRRM2-KD	Exon	HsaEX1018806	UP
HeLa-SRRM2-KD	Exon	HsaEX0007545	UP
HeLa-SRRM2-KD	Exon	HsaEX0074364	UP
HeLa-SRRM2-KD	Exon	HsaEX0026973	UP
HeLa-SRRM2-KD	Exon	HsaEX0012534	UP
HeLa-SRRM2-KD	Exon	HsaEX0002119	UP
HeLa-SRRM2-KD	Exon	HsaEX0013088	UP
